SuperWEB2(tm)

"General Household Survey 2018"
"Usage of piped or tapwater, Safe to drink, Treatment of drinking water, Water supply interruption, PROVINCES, Population group and Metro Code by Summation Options"
"Counting: Person information, Person Weight"

,,,,,,"Summation Options","Person information","Person Weight",
"Usage of piped or tapwater","Safe to drink","Treatment of drinking water","Water supply interruption","PROVINCES","Population group","Metro Code",
,,,,,,"NW-Non Metro",7,7162.6508515,
,,"Yes, sometimes","Yes","Eastern Cape","African/Black","EC-Non Metro",9,3949.8485889,
,,,,"Mpumalanga","African/Black","MP-Non Metro",7,8448.8522076,
,,,,"Total","African/Black","EC-Non Metro",9,3949.8485889,
,,,,,,"MP-Non Metro",7,8448.8522076,
,,,"Not applicable","Eastern Cape","African/Black","EC-Non Metro",66,46074.1725345,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",39,22972.9323443,
,,,,"Mpumalanga","African/Black","MP-Non Metro",3,2062.5257448,
,,,,"Limpopo","African/Black","LP-Non Metro",9,6696.7253382,
,,,,"Total","African/Black","EC-Non Metro",66,46074.1725345,
,,,,,,"KZN-Non Metro",39,22972.9323443,
,,,,,,"MP-Non Metro",3,2062.5257448,
,,,,,,"LP-Non Metro",9,6696.7253382,
,,,"Unspecified","KwaZulu-Natal","African/Black","KZN-Non Metro",5,3643.4208573,
,,,,"Total","African/Black","KZN-Non Metro",5,3643.4208573,
,,"No, never","Yes","KwaZulu-Natal","African/Black","KZN-Non Metro",3,1625.2057213,
,,,,"North West","African/Black","NW-Non Metro",9,9824.7395088,
,,,,"Mpumalanga","African/Black","MP-Non Metro",2,1382.9915808,
,,,,"Total","African/Black","KZN-Non Metro",3,1625.2057213,
,,,,,,"NW-Non Metro",9,9824.7395088,
,,,,,,"MP-Non Metro",2,1382.9915808,
,,,"Not applicable","Eastern Cape","African/Black","EC-Non Metro",249,187336.5178631,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",224,169120.7733561,
,,,,"North West","African/Black","NW-Non Metro",1,656.771132,
,,,,"Gauteng","African/Black","GP-Non Metro",4,1983.5378118,
,,,,"Mpumalanga","African/Black","MP-Non Metro",8,5470.6893053,
,,,,"Limpopo","African/Black","LP-Non Metro",20,12553.5872077,
,,,,"Total","African/Black","EC-Non Metro",249,187336.5178631,
,,,,,,"KZN-Non Metro",224,169120.7733561,
,,,,,,"NW-Non Metro",1,656.771132,
,,,,,,"GP-Non Metro",4,1983.5378118,
,,,,,,"MP-Non Metro",8,5470.6893053,
,,,,,,"LP-Non Metro",20,12553.5872077,
,,,"Unspecified","KwaZulu-Natal","African/Black","KZN-Non Metro",9,10095.9412581,
,,,,"Total","African/Black","KZN-Non Metro",9,10095.9412581,
,,"Unspecified","Not applicable","Limpopo","African/Black","LP-Non Metro",4,3464.1284296,
,,,,"Total","African/Black","LP-Non Metro",4,3464.1284296,
,"Unspecified","No, never","Not applicable","Limpopo","African/Black","LP-Non Metro",1,637.9727531,
,,,,"Total","African/Black","LP-Non Metro",1,637.9727531,
"No","Yes","Yes, always","Yes","Mpumalanga","African/Black","MP-Non Metro",4,3555.1091596,
,,,,"Total","African/Black","MP-Non Metro",4,3555.1091596,
,,,"Not applicable","Western Cape","White","WC-Non Metro",7,4987.70386,
,,,,"Eastern Cape","African/Black","EC-Non Metro",8,5437.7474009,
,,,,"Free State","African/Black","FS-Non Metro",9,6559.7042056,
,,,,"Gauteng","African/Black","GP-City of Tswane",2,1738.0327551,
,,,,"Total","African/Black","EC-Non Metro",8,5437.7474009,
,,,,,,"FS-Non Metro",9,6559.7042056,
,,,,,,"GP-City of Tswane",2,1738.0327551,
,,,,,"White","WC-Non Metro",7,4987.70386,
,,"Yes, sometimes","No","Free State","White","FS-Mangaung",4,2179.0713939,
,,,,"Gauteng","African/Black","GP-City of Johannesburg",13,9561.1569828,
,,,,"Mpumalanga","African/Black","MP-Non Metro",5,3738.054649,
,,,,"Total","African/Black","GP-City of Johannesburg",13,9561.1569828,
,,,,,,"MP-Non Metro",5,3738.054649,
,,,,,"White","FS-Mangaung",4,2179.0713939,
,,,"Not applicable","Eastern Cape","African/Black","EC-Non Metro",33,21056.2632712,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",67,65574.7234915,
,,,,"North West","African/Black","NW-Non Metro",7,6687.579974,
,,,,"Mpumalanga","African/Black","MP-Non Metro",3,2309.1365525,
,,,,"Limpopo","African/Black","LP-Non Metro",18,12754.661709,
,,,,"Total","African/Black","EC-Non Metro",33,21056.2632712,
,,,,,,"KZN-Non Metro",67,65574.7234915,
,,,,,,"NW-Non Metro",7,6687.579974,
,,,,,,"MP-Non Metro",3,2309.1365525,
,,,,,,"LP-Non Metro",18,12754.661709,
,,"No, never","Yes","Eastern Cape","African/Black","EC-Non Metro",21,20886.0759533,
,,,,"Free State","African/Black","FS-Non Metro",20,10295.9217832,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",108,83820.10072,
,,,,"North West","African/Black","NW-Non Metro",51,45654.9057985,
,,,,"Gauteng","African/Black","GP-City of Tswane",19,20763.6433976,
,,,,"Mpumalanga","African/Black","MP-Non Metro",70,53003.1839089,
,,,,"Limpopo","African/Black","LP-Non Metro",5,2332.4477536,
,,,,"Total","African/Black","EC-Non Metro",21,20886.0759533,
,,,,,,"FS-Non Metro",20,10295.9217832,
,,,,,,"KZN-Non Metro",108,83820.10072,
,,,,,,"NW-Non Metro",51,45654.9057985,
,,,,,,"GP-City of Tswane",19,20763.6433976,
,,,,,,"MP-Non Metro",70,53003.1839089,
,,,,,,"LP-Non Metro",5,2332.4477536,
,,,"No","Eastern Cape","African/Black","EC-Non Metro",1,551.7267965,
,,,,"Free State","African/Black","FS-Non Metro",3,2508.0960535,
,,,,,"White","FS-Mangaung",2,1319.349686,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",35,27458.2354253,
,,,,"North West","African/Black","NW-Non Metro",2,973.6332233,
,,,,"Gauteng","African/Black","GP-Non Metro",20,13838.3827002,
,,,,,,"GP-Erkurhuleni",2,1683.4244611,
,,,,,,"GP-City of Johannesburg",3,2355.5511841,
,,,,,,"GP-City of Tswane",32,29209.8608276,
,,,,"Mpumalanga","African/Black","MP-Non Metro",12,7717.115093,
,,,,"Total","African/Black","EC-Non Metro",1,551.7267965,
,,,,,,"FS-Non Metro",3,2508.0960535,
,,,,,,"KZN-Non Metro",35,27458.2354253,
,,,,,,"NW-Non Metro",2,973.6332233,
,,,,,,"GP-Non Metro",20,13838.3827002,
,,,,,,"GP-Erkurhuleni",2,1683.4244611,
,,,,,,"GP-City of Johannesburg",3,2355.5511841,
,,,,,,"GP-City of Tswane",32,29209.8608276,
,,,,,,"MP-Non Metro",12,7717.115093,
,,,,,"White","FS-Mangaung",2,1319.349686,
,,,"Not applicable","Western Cape","African/Black","WC-Non Metro",2,2552.9991182,
,,,,,"Coloured","WC-Non Metro",2,1100.1303589,
,,,,"Eastern Cape","African/Black","EC-Non Metro",281,181742.9331577,
,,,,"Northern Cape","African/Black","NC-Non Metro",14,5094.1182106,
,,,,,"Coloured","NC-Non Metro",9,3115.8202958,
,,,,,"White","NC-Non Metro",7,4552.7986286,
,,,,"Free State","African/Black","FS-Non Metro",45,34636.7748562,
,,,,,,"FS-Mangaung",6,4698.5464188,
,,,,,"Coloured","FS-Non Metro",1,889.3281374,
,,,,,,"FS-Mangaung",4,5227.8511708,
,,,,,"Indian/Asian","FS-Non Metro",1,716.8673594,
,,,,,"White","FS-Non Metro",26,33421.5241766,
,,,,,,"FS-Mangaung",17,15007.3129522,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",375,283430.3178606,
,,,,,"White","KZN-Non Metro",6,7536.020244,
,,,,"North West","African/Black","NW-Non Metro",111,94655.5390253,
,,,,,"Indian/Asian","NW-Non Metro",2,2206.1213764,
,,,,,"White","NW-Non Metro",2,1658.5470466,
,,,,"Gauteng","African/Black","GP-City of Johannesburg",5,4022.700143,
,,,,,,"GP-City of Tswane",40,38800.8859723,
,,,,,"White","GP-Non Metro",4,2841.0396056,
,,,,"Mpumalanga","African/Black","MP-Non Metro",99,76794.5695858,
,,,,"Limpopo","African/Black","LP-Non Metro",278,212841.5567162,
,,,,"Total","African/Black","WC-Non Metro",2,2552.9991182,
,,,,,,"EC-Non Metro",281,181742.9331577,
