SuperWEB2(tm)

"General Household Survey 2018"
"Usage of piped or tapwater, Safe to drink, Treatment of drinking water, Water supply interruption, PROVINCES, Population group and Metro Code by Summation Options"
"Counting: Person information, Person Weight"

,,,,,,"Summation Options","Person information","Person Weight",
"Usage of piped or tapwater","Safe to drink","Treatment of drinking water","Water supply interruption","PROVINCES","Population group","Metro Code",
,,,,,,"EC-Nelson Mandela Bay",6,4156.2498341,
,,,,,"Indian/Asian","EC-Nelson Mandela Bay",1,377.2137802,
,,,,,"White","EC-Buffalo City",4,1885.1283563,
,,,,,,"EC-Nelson Mandela Bay",15,13111.0501891,
,,,,"Northern Cape","African/Black","NC-Non Metro",6,1931.0570567,
,,,,,"Coloured","NC-Non Metro",27,10469.2920047,
,,,,,"White","NC-Non Metro",25,12072.8296693,
,,,,"Free State","African/Black","FS-Non Metro",54,37248.9116566,
,,,,,,"FS-Mangaung",8,5035.7510244,
,,,,,"White","FS-Non Metro",2,1606.7429941,
,,,,,,"FS-Mangaung",1,1232.5482582,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",8,9356.3639398,
,,,,,,"KZN-eThekwini",11,8881.0784219,
,,,,,"Indian/Asian","KZN-eThekwini",28,42226.2646828,
,,,,,"White","KZN-Non Metro",2,2225.6754816,
,,,,,,"KZN-eThekwini",4,4669.4724708,
,,,,"North West","African/Black","NW-Non Metro",18,16402.6570418,
,,,,,"Indian/Asian","NW-Non Metro",4,11442.1058364,
,,,,,"White","NW-Non Metro",9,10706.1821095,
,,,,"Gauteng","African/Black","GP-Non Metro",38,26210.6587261,
,,,,,,"GP-Erkurhuleni",23,20565.3076831,
,,,,,,"GP-City of Johannesburg",68,78144.0462464,
,,,,,,"GP-City of Tswane",33,43195.79601,
,,,,,"Coloured","GP-Non Metro",4,2972.0657294,
,,,,,,"GP-City of Johannesburg",5,3505.8120181,
,,,,,"Indian/Asian","GP-City of Johannesburg",4,5900.1336266,
,,,,,,"GP-City of Tswane",1,1319.3726784,
,,,,,"White","GP-Non Metro",11,13146.3572457,
,,,,,,"GP-Erkurhuleni",3,3099.9013239,
,,,,,,"GP-City of Johannesburg",21,43193.2093773,
,,,,,,"GP-City of Tswane",16,26888.6424722,
,,,,"Mpumalanga","African/Black","MP-Non Metro",18,13201.7322003,
,,,,"Limpopo","African/Black","LP-Non Metro",5,3772.6368215,
,,,,,"White","LP-Non Metro",4,2450.6326664,
,,,,"Total","African/Black","WC-City of Capet own",75,68228.4647701,
,,,,,,"EC-Non Metro",8,5223.4561292,
,,,,,,"EC-Buffalo City",1,508.8166481,
,,,,,,"NC-Non Metro",6,1931.0570567,
,,,,,,"FS-Non Metro",54,37248.9116566,
,,,,,,"FS-Mangaung",8,5035.7510244,
,,,,,,"KZN-Non Metro",8,9356.3639398,
,,,,,,"KZN-eThekwini",11,8881.0784219,
,,,,,,"NW-Non Metro",18,16402.6570418,
,,,,,,"GP-Non Metro",38,26210.6587261,
,,,,,,"GP-Erkurhuleni",23,20565.3076831,
,,,,,,"GP-City of Johannesburg",68,78144.0462464,
,,,,,,"GP-City of Tswane",33,43195.79601,
,,,,,,"MP-Non Metro",18,13201.7322003,
,,,,,,"LP-Non Metro",5,3772.6368215,
,,,,,"Coloured","WC-Non Metro",12,14626.9134149,
,,,,,,"WC-City of Capet own",127,111069.6023988,
,,,,,,"EC-Non Metro",4,3126.5459142,
,,,,,,"EC-Nelson Mandela Bay",6,4156.2498341,
,,,,,,"NC-Non Metro",27,10469.2920047,
,,,,,,"GP-Non Metro",4,2972.0657294,
,,,,,,"GP-City of Johannesburg",5,3505.8120181,
,,,,,"Indian/Asian","WC-City of Capet own",5,5687.7782477,
,,,,,,"EC-Nelson Mandela Bay",1,377.2137802,
,,,,,,"KZN-eThekwini",28,42226.2646828,
,,,,,,"NW-Non Metro",4,11442.1058364,
,,,,,,"GP-City of Johannesburg",4,5900.1336266,
,,,,,,"GP-City of Tswane",1,1319.3726784,
,,,,,"White","WC-Non Metro",18,23769.787333,
,,,,,,"WC-City of Capet own",248,247855.9586972,
,,,,,,"EC-Buffalo City",4,1885.1283563,
,,,,,,"EC-Nelson Mandela Bay",15,13111.0501891,
,,,,,,"NC-Non Metro",25,12072.8296693,
,,,,,,"FS-Non Metro",2,1606.7429941,
,,,,,,"FS-Mangaung",1,1232.5482582,
,,,,,,"KZN-Non Metro",2,2225.6754816,
,,,,,,"KZN-eThekwini",4,4669.4724708,
,,,,,,"NW-Non Metro",9,10706.1821095,
,,,,,,"GP-Non Metro",11,13146.3572457,
,,,,,,"GP-Erkurhuleni",3,3099.9013239,
,,,,,,"GP-City of Johannesburg",21,43193.2093773,
,,,,,,"GP-City of Tswane",16,26888.6424722,
,,,,,,"LP-Non Metro",4,2450.6326664,
,,,"Not applicable","Western Cape","Coloured","WC-Non Metro",4,3108.6687507,
,,,,,"White","WC-Non Metro",11,7440.4092682,
,,,,,,"WC-City of Capet own",2,1937.6313148,
,,,,"Eastern Cape","African/Black","EC-Non Metro",8,2403.5046348,
,,,,,"Coloured","EC-Nelson Mandela Bay",1,317.533436,
,,,,,"White","EC-Non Metro",2,956.7085634,
,,,,,,"EC-Buffalo City",4,4843.1769399,
,,,,,,"EC-Nelson Mandela Bay",1,317.533436,
,,,,"Northern Cape","African/Black","NC-Non Metro",91,33719.4599715,
,,,,,"Indian/Asian","NC-Non Metro",1,395.2970619,
,,,,,"White","NC-Non Metro",17,7355.869044,
,,,,"Free State","African/Black","FS-Non Metro",5,1890.3958544,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",2,1820.5345417,
,,,,,"White","KZN-Non Metro",1,535.3843784,
,,,,"North West","African/Black","NW-Non Metro",6,6505.1560177,
,,,,"Gauteng","African/Black","GP-City of Johannesburg",1,883.8578369,
,,,,,,"GP-City of Tswane",3,2118.3897613,
,,,,"Mpumalanga","African/Black","MP-Non Metro",3,1724.3261973,
,,,,"Limpopo","African/Black","LP-Non Metro",25,20836.0363142,
,,,,"Total","African/Black","EC-Non Metro",8,2403.5046348,
,,,,,,"NC-Non Metro",91,33719.4599715,
,,,,,,"FS-Non Metro",5,1890.3958544,
,,,,,,"KZN-Non Metro",2,1820.5345417,
,,,,,,"NW-Non Metro",6,6505.1560177,
,,,,,,"GP-City of Johannesburg",1,883.8578369,
,,,,,,"GP-City of Tswane",3,2118.3897613,
,,,,,,"MP-Non Metro",3,1724.3261973,
,,,,,,"LP-Non Metro",25,20836.0363142,
,,,,,"Coloured","WC-Non Metro",4,3108.6687507,
,,,,,,"EC-Nelson Mandela Bay",1,317.533436,
,,,,,"Indian/Asian","NC-Non Metro",1,395.2970619,
,,,,,"White","WC-Non Metro",11,7440.4092682,
,,,,,,"WC-City of Capet own",2,1937.6313148,
,,,,,,"EC-Non Metro",2,956.7085634,
,,,,,,"EC-Buffalo City",4,4843.1769399,
,,,,,,"EC-Nelson Mandela Bay",1,317.533436,
,,,,,,"NC-Non Metro",17,7355.869044,
,,,,,,"KZN-Non Metro",1,535.3843784,
,,"Yes, sometimes","Yes","Western Cape","African/Black","WC-City of Capet own",4,3406.7970816,
,,,,,"Coloured","WC-Non Metro",2,1198.8739769,
,,,,,,"WC-City of Capet own",13,16383.81731,
,,,,"Eastern Cape","African/Black","EC-Non Metro",50,31847.9609375,
,,,,,,"EC-Buffalo City",10,10753.7282813,
,,,,,,"EC-Nelson Mandela Bay",43,35047.6285299,
,,,,,"Coloured","EC-Non Metro",8,6008.5081448,
,,,,,,"EC-Nelson Mandela Bay",7,5309.7996392,
,,,,,"White","EC-Non Metro",7,6019.0585161,
,,,,"Northern Cape","African/Black","NC-Non Metro",181,59209.5725687,
,,,,,"Coloured","NC-Non Metro",169,56884.8857152,
,,,,,"White","NC-Non Metro",3,1241.9821501,
,,,,"Free State","African/Black","FS-Non Metro",139,90240.6321151,
,,,,,,"FS-Mangaung",46,30555.8215646,
,,,,,"Coloured","FS-Non Metro",7,5060.9797437,
,,,,,"White","FS-Non Metro",3,3051.3177937,
,,,,,,"FS-Mangaung",1,1499.3964775,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",111,85280.7500797,
,,,,,,"KZN-eThekwini",10,12918.6819108,
,,,,,"Coloured","KZN-Non Metro",1,819.8983484,
,,,,,,"KZN-eThekwini",4,4321.6922896,
,,,,,"Indian/Asian","KZN-Non Metro",1,677.5312461,
,,,,,,"KZN-eThekwini",1,730.1438316,
,,,,,"White","KZN-Non Metro",7,5925.9457961,
,,,,,,"KZN-eThekwini",5,5558.0170554,
,,,,"North West","African/Black","NW-Non Metro",97,80415.673775,
,,,,,"White","NW-Non Metro",6,6260.0506963,
,,,,"Gauteng","African/Black","GP-Erkurhuleni",18,15007.4126349,
,,,,,,"GP-City of Johannesburg",25,29581.061582,
,,,,,,"GP-City of Tswane",40,47358.6934737,
,,,,,"Indian/Asian","GP-City of Johannesburg",1,1616.0150922,
,,,,,"White","GP-Non Metro",4,4261.0170504,
,,,,,,"GP-City of Johannesburg",10,12056.1828167,
,,,,,,"GP-City of Tswane",8,12093.0459514,
,,,,"Mpumalanga","African/Black","MP-Non Metro",231,195615.4712677,
,,,,,"Indian/Asian","MP-Non Metro",4,7614.1114412,
,,,,,"White","MP-Non Metro",5,4788.9482447,
,,,,"Limpopo","African/Black","LP-Non Metro",59,47158.6044538,
,,,,,"White","LP-Non Metro",8,6041.884354,
,,,,"Total","African/Black","WC-City of Capet own",4,3406.7970816,
,,,,,,"EC-Non Metro",50,31847.9609375,
,,,,,,"EC-Buffalo City",10,10753.7282813,
,,,,,,"EC-Nelson Mandela Bay",43,35047.6285299,
,,,,,,"NC-Non Metro",181,59209.5725687,
,,,,,,"FS-Non Metro",139,90240.6321151,
,,,,,,"FS-Mangaung",46,30555.8215646,
,,,,,,"KZN-Non Metro",111,85280.7500797,
,,,,,,"KZN-eThekwini",10,12918.6819108,
,,,,,,"NW-Non Metro",97,80415.673775,
,,,,,,"GP-Erkurhuleni",18,15007.4126349,
,,,,,,"GP-City of Johannesburg",25,29581.061582,
,,,,,,"GP-City of Tswane",40,47358.6934737,
,,,,,,"MP-Non Metro",231,195615.4712677,
,,,,,,"LP-Non Metro",59,47158.6044538,
,,,,,"Coloured","WC-Non Metro",2,1198.8739769,
,,,,,,"WC-City of Capet own",13,16383.81731,
,,,,,,"EC-Non Metro",8,6008.5081448,
,,,,,,"EC-Nelson Mandela Bay",7,5309.7996392,
,,,,,,"NC-Non Metro",169,56884.8857152,
,,,,,,"FS-Non Metro",7,5060.9797437,
,,,,,,"KZN-Non Metro",1,819.8983484,
,,,,,,"KZN-eThekwini",4,4321.6922896,
,,,,,"Indian/Asian","KZN-Non Metro",1,677.5312461,
,,,,,,"KZN-eThekwini",1,730.1438316,
,,,,,,"GP-City of Johannesburg",1,1616.0150922,
,,,,,,"MP-Non Metro",4,7614.1114412,
,,,,,"White","EC-Non Metro",7,6019.0585161,
,,,,,,"NC-Non Metro",3,1241.9821501,
,,,,,,"FS-Non Metro",3,3051.3177937,
,,,,,,"FS-Mangaung",1,1499.3964775,
,,,,,,"KZN-Non Metro",7,5925.9457961,
,,,,,,"KZN-eThekwini",5,5558.0170554,
,,,,,,"NW-Non Metro",6,6260.0506963,
,,,,,,"GP-Non Metro",4,4261.0170504,
,,,,,,"GP-City of Johannesburg",10,12056.1828167,
,,,,,,"GP-City of Tswane",8,12093.0459514,
,,,,,,"MP-Non Metro",5,4788.9482447,
,,,,,,"LP-Non Metro",8,6041.884354,
,,,"No","Western Cape","African/Black","WC-Non Metro",22,31066.4032066,
,,,,,,"WC-City of Capet own",114,91225.6619875,
,,,,,"Coloured","WC-Non Metro",7,6566.0168408,
,,,,,,"WC-City of Capet own",119,102281.9632895,
,,,,,"White","WC-Non Metro",11,15175.805518,
,,,,,,"WC-City of Capet own",11,13128.667675,
,,,,"Eastern Cape","African/Black","EC-Non Metro",15,8878.8990691,
,,,,,,"EC-Buffalo City",10,5471.9286457,
,,,,,,"EC-Nelson Mandela Bay",8,6227.3424233,
,,,,,"Coloured","EC-Non Metro",4,2737.652792,
,,,,,,"EC-Buffalo City",3,1323.144594,
,,,,,,"EC-Nelson Mandela Bay",16,6955.0445974,
,,,,,"Indian/Asian","EC-Buffalo City",4,4868.3363436,
,,,,,"White","EC-Buffalo City",6,4416.8170955,
,,,,,,"EC-Nelson Mandela Bay",9,6254.6317554,
,,,,"Northern Cape","African/Black","NC-Non Metro",34,10703.1708651,
,,,,,"Coloured","NC-Non Metro",182,74868.6364381,
,,,,,"White","NC-Non Metro",12,6215.0753694,
,,,,"Free State","African/Black","FS-Non Metro",186,136581.1680191,
,,,,,,"FS-Mangaung",33,23893.4937852,
,,,,,"Coloured","FS-Non Metro",1,607.8851376,
,,,,,"White","FS-Non Metro",8,9309.6398624,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",14,10683.4380307,
,,,,,,"KZN-eThekwini",8,6946.1224162,
,,,,,"Indian/Asian","KZN-eThekwini",5,5946.6829853,
,,,,,"White","KZN-eThekwini",5,6706.5648285,
,,,,"North West","African/Black","NW-Non Metro",39,32894.2792365,
,,,,"Gauteng","African/Black","GP-Non Metro",11,7966.0080296,
,,,,,,"GP-Erkurhuleni",46,35350.5843661,
,,,,,,"GP-City of Johannesburg",20,23489.6093844,
,,,,,,"GP-City of Tswane",36,42280.0393974,
,,,,,"Coloured","GP-City of Johannesburg",6,8863.0099302,
,,,,,,"GP-City of Tswane",4,7216.4690612,
,,,,,"Indian/Asian","GP-City of Johannesburg",4,4626.6817604,
,,,,,"White","GP-Non Metro",4,5981.5494542,
,,,,,,"GP-Erkurhuleni",14,18735.6618961,
,,,,,,"GP-City of Johannesburg",22,37422.8240866,
,,,,,,"GP-City of Tswane",6,7274.7489617,
,,,,"Mpumalanga","African/Black","MP-Non Metro",120,92605.1615675,
,,,,,"Indian/Asian","MP-Non Metro",2,1640.8865007,
,,,,,"White","MP-Non Metro",4,3513.565733,
,,,,"Limpopo","African/Black","LP-Non Metro",17,14764.5076435,
,,,,,"Indian/Asian","LP-Non Metro",1,909.1447804,
,,,,,"White","LP-Non Metro",2,1435.8578815,
,,,,"Total","African/Black","WC-Non Metro",22,31066.4032066,
,,,,,,"WC-City of Capet own",114,91225.6619875,
,,,,,,"EC-Non Metro",15,8878.8990691,
,,,,,,"EC-Buffalo City",10,5471.9286457,
,,,,,,"EC-Nelson Mandela Bay",8,6227.3424233,
,,,,,,"NC-Non Metro",34,10703.1708651,
,,,,,,"FS-Non Metro",186,136581.1680191,
,,,,,,"FS-Mangaung",33,23893.4937852,
,,,,,,"KZN-Non Metro",14,10683.4380307,
,,,,,,"KZN-eThekwini",8,6946.1224162,
,,,,,,"NW-Non Metro",39,32894.2792365,
,,,,,,"GP-Non Metro",11,7966.0080296,
,,,,,,"GP-Erkurhuleni",46,35350.5843661,
,,,,,,"GP-City of Johannesburg",20,23489.6093844,
,,,,,,"GP-City of Tswane",36,42280.0393974,
,,,,,,"MP-Non Metro",120,92605.1615675,
,,,,,,"LP-Non Metro",17,14764.5076435,
,,,,,"Coloured","WC-Non Metro",7,6566.0168408,
,,,,,,"WC-City of Capet own",119,102281.9632895,
,,,,,,"EC-Non Metro",4,2737.652792,
,,,,,,"EC-Buffalo City",3,1323.144594,
,,,,,,"EC-Nelson Mandela Bay",16,6955.0445974,
,,,,,,"NC-Non Metro",182,74868.6364381,
,,,,,,"FS-Non Metro",1,607.8851376,
,,,,,,"GP-City of Johannesburg",6,8863.0099302,
,,,,,,"GP-City of Tswane",4,7216.4690612,
,,,,,"Indian/Asian","EC-Buffalo City",4,4868.3363436,
,,,,,,"KZN-eThekwini",5,5946.6829853,
,,,,,,"GP-City of Johannesburg",4,4626.6817604,
,,,,,,"MP-Non Metro",2,1640.8865007,
,,,,,,"LP-Non Metro",1,909.1447804,
,,,,,"White","WC-Non Metro",11,15175.805518,
,,,,,,"WC-City of Capet own",11,13128.667675,
,,,,,,"EC-Buffalo City",6,4416.8170955,
,,,,,,"EC-Nelson Mandela Bay",9,6254.6317554,
,,,,,,"NC-Non Metro",12,6215.0753694,
,,,,,,"FS-Non Metro",8,9309.6398624,
,,,,,,"KZN-eThekwini",5,6706.5648285,
,,,,,,"GP-Non Metro",4,5981.5494542,
,,,,,,"GP-Erkurhuleni",14,18735.6618961,
,,,,,,"GP-City of Johannesburg",22,37422.8240866,
,,,,,,"GP-City of Tswane",6,7274.7489617,
,,,,,,"MP-Non Metro",4,3513.565733,
,,,,,,"LP-Non Metro",2,1435.8578815,
,,,"Not applicable","Western Cape","African/Black","WC-Non Metro",1,944.7284981,
,,,,,"Coloured","WC-Non Metro",9,12528.4133535,
,,,,,"White","WC-Non Metro",2,1758.8381563,
,,,,"Eastern Cape","African/Black","EC-Non Metro",154,111100.5938297,
,,,,,,"EC-Buffalo City",1,984.453655,
,,,,,"White","EC-Non Metro",1,862.9733553,
,,,,"Northern Cape","African/Black","NC-Non Metro",34,13785.2628785,
,,,,,"Coloured","NC-Non Metro",3,1405.0442276,
,,,,,"White","NC-Non Metro",1,621.1351706,
,,,,"Free State","African/Black","FS-Non Metro",13,8916.5971287,
,,,,,"White","FS-Non Metro",7,5827.1716605,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",50,38198.6323115,
,,,,,"White","KZN-Non Metro",4,2384.7463316,
,,,,"North West","African/Black","NW-Non Metro",62,58455.7370946,
,,,,,"Coloured","NW-Non Metro",1,764.169623,
,,,,,"White","NW-Non Metro",4,3607.9754841,
,,,,"Gauteng","African/Black","GP-City of Tswane",9,6568.7555317,
,,,,,"White","GP-City of Tswane",3,5463.8588557,
,,,,"Mpumalanga","African/Black","MP-Non Metro",9,7732.0865162,
,,,,"Limpopo","African/Black","LP-Non Metro",87,59325.4010752,
,,,,,"White","LP-Non Metro",4,5068.1896704,
,,,,"Total","African/Black","WC-Non Metro",1,944.7284981,
,,,,,,"EC-Non Metro",154,111100.5938297,
,,,,,,"EC-Buffalo City",1,984.453655,
,,,,,,"NC-Non Metro",34,13785.2628785,
,,,,,,"FS-Non Metro",13,8916.5971287,
,,,,,,"KZN-Non Metro",50,38198.6323115,
,,,,,,"NW-Non Metro",62,58455.7370946,
,,,,,,"GP-City of Tswane",9,6568.7555317,
,,,,,,"MP-Non Metro",9,7732.0865162,
,,,,,,"LP-Non Metro",87,59325.4010752,
,,,,,"Coloured","WC-Non Metro",9,12528.4133535,
,,,,,,"NC-Non Metro",3,1405.0442276,
,,,,,,"NW-Non Metro",1,764.169623,
,,,,,"White","WC-Non Metro",2,1758.8381563,
,,,,,,"EC-Non Metro",1,862.9733553,
,,,,,,"NC-Non Metro",1,621.1351706,
,,,,,,"FS-Non Metro",7,5827.1716605,
,,,,,,"KZN-Non Metro",4,2384.7463316,
,,,,,,"NW-Non Metro",4,3607.9754841,
,,,,,,"GP-City of Tswane",3,5463.8588557,
,,,,,,"LP-Non Metro",4,5068.1896704,
,,,"Unspecified","KwaZulu-Natal","African/Black","KZN-Non Metro",3,2570.2679507,
,,,,"Total","African/Black","KZN-Non Metro",3,2570.2679507,
,,"No, never","Yes","Western Cape","African/Black","WC-Non Metro",46,50368.1486836,
,,,,,,"WC-City of Capet own",152,111955.0480717,
,,,,,"Coloured","WC-Non Metro",49,64074.4664835,
,,,,,,"WC-City of Capet own",231,199942.308928,
,,,,,"White","WC-Non Metro",21,33108.7708524,
,,,,,,"WC-City of Capet own",48,44141.8352774,
,,,,"Eastern Cape","African/Black","EC-Non Metro",2367,1577771.6320427,
,,,,,,"EC-Buffalo City",573,349255.7966876,
,,,,,,"EC-Nelson Mandela Bay",706,488355.3199518,
,,,,,"Coloured","EC-Non Metro",98,62721.1903174,
,,,,,,"EC-Buffalo City",8,5448.493197,
,,,,,,"EC-Nelson Mandela Bay",77,54802.8847575,
,,,,,"Indian/Asian","EC-Non Metro",1,850.569505,
,,,,,"White","EC-Non Metro",9,6966.1727142,
,,,,,,"EC-Buffalo City",4,2760.8834277,
,,,,"Northern Cape","African/Black","NC-Non Metro",635,227356.8248533,
,,,,,"Coloured","NC-Non Metro",300,112645.9697936,
,,,,,"Indian/Asian","NC-Non Metro",1,488.4503869,
,,,,,"White","NC-Non Metro",13,5332.5038804,
,,,,"Free State","African/Black","FS-Non Metro",737,492826.9127067,
,,,,,,"FS-Mangaung",371,249578.1803534,
,,,,,"Coloured","FS-Non Metro",37,24367.3348068,
,,,,,,"FS-Mangaung",5,2281.113646,
,,,,,"Indian/Asian","FS-Non Metro",1,965.6909504,
,,,,,,"FS-Mangaung",1,530.2264847,
,,,,,"White","FS-Non Metro",12,8257.9182386,
,,,,,,"FS-Mangaung",45,47690.3257673,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",3487,2943714.5566973,
,,,,,,"KZN-eThekwini",796,711551.9204887,
,,,,,"Coloured","KZN-Non Metro",18,16814.3576721,
,,,,,,"KZN-eThekwini",9,9374.1708508,
,,,,,"Indian/Asian","KZN-Non Metro",108,100248.9737745,
,,,,,,"KZN-eThekwini",81,99050.8202858,
,,,,,"White","KZN-Non Metro",28,36828.3472935,
,,,,,,"KZN-eThekwini",23,28316.4901358,
,,,,"North West","African/Black","NW-Non Metro",1152,987120.808756,
,,,,,"Coloured","NW-Non Metro",16,15565.0639656,
,,,,,"White","NW-Non Metro",27,29634.4961513,
,,,,"Gauteng","African/Black","GP-Non Metro",506,391137.6057189,
,,,,,,"GP-Erkurhuleni",951,707489.1826066,
,,,,,,"GP-City of Johannesburg",1342,1230941.0140852,
,,,,,,"GP-City of Tswane",593,523326.3815116,
,,,,,"Coloured","GP-Non Metro",3,2964.7929712,
,,,,,,"GP-Erkurhuleni",24,16310.4142841,
,,,,,,"GP-City of Johannesburg",42,49569.8744608,
,,,,,,"GP-City of Tswane",21,20386.1655702,
,,,,,"Indian/Asian","GP-Non Metro",2,846.6381331,
,,,,,,"GP-Erkurhuleni",21,30854.0456448,
,,,,,,"GP-City of Johannesburg",71,113958.5592076,
,,,,,"White","GP-Non Metro",31,34230.8802678,
,,,,,,"GP-Erkurhuleni",59,83192.4308589,
,,,,,,"GP-City of Johannesburg",81,166686.8108223,
,,,,,,"GP-City of Tswane",51,93521.2387946,
,,,,"Mpumalanga","African/Black","MP-Non Metro",2819,2073352.0215556,
,,,,,"Coloured","MP-Non Metro",4,3369.9598284,
,,,,,"Indian/Asian","MP-Non Metro",8,7053.9559159,
,,,,,"White","MP-Non Metro",41,38487.2244609,
,,,,"Limpopo","African/Black","LP-Non Metro",3975,2787252.4113481,
,,,,,"Coloured","LP-Non Metro",6,3693.1664941,
,,,,,"Indian/Asian","LP-Non Metro",16,19543.9237025,
,,,,,"White","LP-Non Metro",21,21061.9047871,
,,,,"Total","African/Black","WC-Non Metro",46,50368.1486836,
,,,,,,"WC-City of Capet own",152,111955.0480717,
,,,,,,"EC-Non Metro",2367,1577771.6320427,
,,,,,,"EC-Buffalo City",573,349255.7966876,
,,,,,,"EC-Nelson Mandela Bay",706,488355.3199518,
,,,,,,"NC-Non Metro",635,227356.8248533,
,,,,,,"FS-Non Metro",737,492826.9127067,
,,,,,,"FS-Mangaung",371,249578.1803534,
,,,,,,"KZN-Non Metro",3487,2943714.5566973,
,,,,,,"KZN-eThekwini",796,711551.9204887,
,,,,,,"NW-Non Metro",1152,987120.808756,
,,,,,,"GP-Non Metro",506,391137.6057189,
,,,,,,"GP-Erkurhuleni",951,707489.1826066,
,,,,,,"GP-City of Johannesburg",1342,1230941.0140852,
,,,,,,"GP-City of Tswane",593,523326.3815116,
,,,,,,"MP-Non Metro",2819,2073352.0215556,
,,,,,,"LP-Non Metro",3975,2787252.4113481,
,,,,,"Coloured","WC-Non Metro",49,64074.4664835,
,,,,,,"WC-City of Capet own",231,199942.308928,
,,,,,,"EC-Non Metro",98,62721.1903174,
,,,,,,"EC-Buffalo City",8,5448.493197,
,,,,,,"EC-Nelson Mandela Bay",77,54802.8847575,
,,,,,,"NC-Non Metro",300,112645.9697936,
,,,,,,"FS-Non Metro",37,24367.3348068,
,,,,,,"FS-Mangaung",5,2281.113646,
,,,,,,"KZN-Non Metro",18,16814.3576721,
,,,,,,"KZN-eThekwini",9,9374.1708508,
,,,,,,"NW-Non Metro",16,15565.0639656,
,,,,,,"GP-Non Metro",3,2964.7929712,
,,,,,,"GP-Erkurhuleni",24,16310.4142841,
,,,,,,"GP-City of Johannesburg",42,49569.8744608,
,,,,,,"GP-City of Tswane",21,20386.1655702,
,,,,,,"MP-Non Metro",4,3369.9598284,
,,,,,,"LP-Non Metro",6,3693.1664941,
,,,,,"Indian/Asian","EC-Non Metro",1,850.569505,
,,,,,,"NC-Non Metro",1,488.4503869,
,,,,,,"FS-Non Metro",1,965.6909504,
,,,,,,"FS-Mangaung",1,530.2264847,
,,,,,,"KZN-Non Metro",108,100248.9737745,
,,,,,,"KZN-eThekwini",81,99050.8202858,
,,,,,,"GP-Non Metro",2,846.6381331,
,,,,,,"GP-Erkurhuleni",21,30854.0456448,
,,,,,,"GP-City of Johannesburg",71,113958.5592076,
,,,,,,"MP-Non Metro",8,7053.9559159,
,,,,,,"LP-Non Metro",16,19543.9237025,
,,,,,"White","WC-Non Metro",21,33108.7708524,
,,,,,,"WC-City of Capet own",48,44141.8352774,
,,,,,,"EC-Non Metro",9,6966.1727142,
,,,,,,"EC-Buffalo City",4,2760.8834277,
,,,,,,"NC-Non Metro",13,5332.5038804,
,,,,,,"FS-Non Metro",12,8257.9182386,
,,,,,,"FS-Mangaung",45,47690.3257673,
,,,,,,"KZN-Non Metro",28,36828.3472935,
,,,,,,"KZN-eThekwini",23,28316.4901358,
,,,,,,"NW-Non Metro",27,29634.4961513,
,,,,,,"GP-Non Metro",31,34230.8802678,
,,,,,,"GP-Erkurhuleni",59,83192.4308589,
,,,,,,"GP-City of Johannesburg",81,166686.8108223,
,,,,,,"GP-City of Tswane",51,93521.2387946,
,,,,,,"MP-Non Metro",41,38487.2244609,
,,,,,,"LP-Non Metro",21,21061.9047871,
,,,"No","Western Cape","African/Black","WC-Non Metro",373,445201.326899,
,,,,,,"WC-City of Capet own",1458,1284639.6211356,
,,,,,"Coloured","WC-Non Metro",990,1032485.8521751,
,,,,,,"WC-City of Capet own",1217,984653.9411708,
,,,,,"Indian/Asian","WC-City of Capet own",24,30447.545988,
,,,,,"White","WC-Non Metro",172,228273.4942585,
,,,,,,"WC-City of Capet own",355,397395.8046384,
,,,,"Eastern Cape","African/Black","EC-Non Metro",600,394458.1727412,
,,,,,,"EC-Buffalo City",410,275239.0261689,
,,,,,,"EC-Nelson Mandela Bay",233,180035.2931714,
,,,,,"Coloured","EC-Non Metro",114,91287.9783222,
,,,,,,"EC-Buffalo City",63,36285.6585915,
,,,,,,"EC-Nelson Mandela Bay",273,191844.3014495,
,,,,,"White","EC-Non Metro",19,14975.638861,
,,,,,,"EC-Buffalo City",34,34698.1504299,
,,,,,,"EC-Nelson Mandela Bay",52,45224.3802672,
,,,,"Northern Cape","African/Black","NC-Non Metro",198,78780.159751,
,,,,,"Coloured","NC-Non Metro",549,203214.0339554,
,,,,,"Indian/Asian","NC-Non Metro",3,1806.2551318,
,,,,,"White","NC-Non Metro",44,21863.2055163,
,,,,"Free State","African/Black","FS-Non Metro",995,682033.8291954,
,,,,,,"FS-Mangaung",411,281520.2620746,
,,,,,"Coloured","FS-Non Metro",39,28740.719906,
,,,,,,"FS-Mangaung",5,2149.2501084,
,,,,,"Indian/Asian","FS-Non Metro",2,2818.2231396,
,,,,,"White","FS-Non Metro",37,37574.9824618,
,,,,,,"FS-Mangaung",14,17191.4658967,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",1311,1041699.2341257,
,,,,,,"KZN-eThekwini",2274,2092033.9983673,
